"INDICATOR","ENHIS_21"

"ENHIS_21","Percentages of physically active children among 15-year-olds"

"EXTERNID","ID in the originating data source"

"DATA_SOURCE","Data source"
"ENHIS","Environment and Health"

"UNIT_TYPE","Unit"
"PERCENT","%"

"DATA_TYPE_REPRESENTATION","Data type representation"
"RATIO","Ratio"

"DATA_SET","Data set"
"ENHIS","Environment and Health Information System (ENHIS)"

"SEX","Sex"
"FEMALE","Female"
"MALE","Male"
"ALL","All"

"COUNTRY","SEX","YEAR","VALUE"
"ARM","MALE","2009","28.6"
"ARM","FEMALE","2009","13.9"
"AUT","MALE","2009","19.8"
"AUT","FEMALE","2009","8.5"
"AUT","MALE","2005","13"
"AUT","FEMALE","2005","10"
"BE-VLG","MALE","2009","17.1"
"BE-VLG","FEMALE","2009","9.5"
"BE-VLG","MALE","2005","17"
"BE-VLG","FEMALE","2005","11"
"BE-WAL","MALE","2009","15.2"
"BE-WAL","FEMALE","2009","9"
"BE-WAL","MALE","2005","24"
"BE-WAL","FEMALE","2005","21"
"BGR","MALE","2005","24"
"BGR","FEMALE","2005","16"
"HRV","MALE","2009","22.3"
"HRV","FEMALE","2009","8.3"
"HRV","MALE","2005","20"
"HRV","FEMALE","2005","10"
"CZE","MALE","2009","24.8"
"CZE","FEMALE","2009","14.3"
"CZE","MALE","2005","27"
"CZE","FEMALE","2005","16"
"DNK","MALE","2009","14.4"
"DNK","FEMALE","2009","7.7"
"DNK","MALE","2005","20"
"DNK","FEMALE","2005","16"
"EST","MALE","2009","13.4"
"EST","FEMALE","2009","9.3"
"EST","MALE","2005","18"
"EST","FEMALE","2005","9"
"FIN","MALE","2009","17.2"
"FIN","FEMALE","2009","10.3"
"FIN","MALE","2005","15"
"FIN","FEMALE","2005","9"
"FRA","MALE","2009","13.8"
"FRA","FEMALE","2009","5.6"
"FRA","MALE","2005","14"
"FRA","FEMALE","2005","5"
"DEU","MALE","2009","13.4"
"DEU","FEMALE","2009","8.6"
"DEU","MALE","2005","16"
"DEU","FEMALE","2005","10"
"GRC","MALE","2009","18.3"
"GRC","FEMALE","2009","5.2"
"GRC","MALE","2005","16"
"GRC","FEMALE","2005","7"
"GRL","MALE","2009","25.4"
"GRL","FEMALE","2009","19.5"
"HUN","MALE","2009","21"
"HUN","FEMALE","2009","8.6"
"HUN","MALE","2005","19"
"HUN","FEMALE","2005","11"
"ISL","MALE","2009","15.2"
"ISL","FEMALE","2009","9.1"
"IRL","MALE","2009","28.1"
"IRL","FEMALE","2009","11.6"
"IRL","MALE","2005","27"
"IRL","FEMALE","2005","13"
"ITA","MALE","2009","11.5"
"ITA","FEMALE","2009","4.9"
"ITA","MALE","2005","16"
"ITA","FEMALE","2005","7"
"LVA","MALE","2009","22.2"
"LVA","FEMALE","2009","12.6"
"LVA","MALE","2005","26"
"LVA","FEMALE","2005","16"
"LTU","MALE","2009","18.1"
"LTU","FEMALE","2009","10.9"
"LTU","MALE","2005","19"
"LTU","FEMALE","2005","13"
"LUX","MALE","2009","24.4"
"LUX","FEMALE","2009","13"
"LUX","MALE","2005","19"
