"INDICATOR","ENHIS_19"

"ENHIS_19","Percentages of physically active children among 11-year-olds"

"EXTERNID","ID in the originating data source"

"DATA_SOURCE","Data source"
"ENHIS","Environment and Health"

"UNIT_TYPE","Unit"
"PERCENT","%"

"DATA_TYPE_REPRESENTATION","Data type representation"
"RATIO","Ratio"

"DATA_SET","Data set"
"ENHIS","Environment and Health Information System (ENHIS)"

"SEX","Sex"
"FEMALE","Female"
"MALE","Male"
"ALL","All"

"COUNTRY","SEX","YEAR","VALUE"
"ARM","MALE","2009","34.3"
"ARM","FEMALE","2009","20.6"
"AUT","MALE","2009","40"
"AUT","FEMALE","2009","29.6"
"AUT","MALE","2005","29"
"AUT","FEMALE","2005","23"
"BE-VLG","MALE","2009","25.4"
"BE-VLG","FEMALE","2009","14.6"
"BE-VLG","MALE","2005","20"
"BE-VLG","FEMALE","2005","15"
"BE-WAL","MALE","2009","29.7"
"BE-WAL","FEMALE","2009","17.6"
"BE-WAL","MALE","2005","31"
"BE-WAL","FEMALE","2005","23"
"BGR","MALE","2005","39"
"BGR","FEMALE","2005","26"
"HRV","MALE","2009","31.1"
"HRV","FEMALE","2009","19.1"
"HRV","MALE","2005","36"
"HRV","FEMALE","2005","26"
"CZE","MALE","2009","28"
"CZE","FEMALE","2009","23.3"
"CZE","MALE","2005","25"
"CZE","FEMALE","2005","19"
"DNK","MALE","2009","16.4"
"DNK","FEMALE","2009","10.2"
"DNK","MALE","2005","31"
"DNK","FEMALE","2005","26"
"EST","MALE","2009","18.9"
"EST","FEMALE","2009","16.4"
"EST","MALE","2005","24"
"EST","FEMALE","2005","21"
"FIN","MALE","2009","38.2"
"FIN","FEMALE","2009","24.6"
"FIN","MALE","2005","48"
"FIN","FEMALE","2005","37"
"FRA","MALE","2009","21.4"
"FRA","FEMALE","2009","9.1"
"FRA","MALE","2005","24"
"FRA","FEMALE","2005","12"
"DEU","MALE","2009","24.8"
"DEU","FEMALE","2009","19.9"
"DEU","MALE","2005","25"
"DEU","FEMALE","2005","20"
"GRC","MALE","2009","20.5"
"GRC","FEMALE","2009","11.9"
"GRC","MALE","2005","25"
"GRC","FEMALE","2005","16"
"GRL","MALE","2009","30.2"
"GRL","FEMALE","2009","27.1"
"HUN","MALE","2009","30"
"HUN","FEMALE","2009","22.4"
"HUN","MALE","2005","28"
"HUN","FEMALE","2005","19"
"ISL","MALE","2009","24.9"
"ISL","FEMALE","2009","16.5"
"IRL","MALE","2009","42.7"
"IRL","FEMALE","2009","31.3"
"IRL","MALE","2005","51"
"IRL","FEMALE","2005","38"
"ITA","MALE","2009","10.3"
"ITA","FEMALE","2009","6.6"
"ITA","MALE","2005","23"
"ITA","FEMALE","2005","13"
"LVA","MALE","2009","26.2"
"LVA","FEMALE","2009","17.5"
"LVA","MALE","2005","30"
"LVA","FEMALE","2005","23"
"LTU","MALE","2009","22.6"
"LTU","FEMALE","2009","16.8"
"LTU","MALE","2005","27"
"LTU","FEMALE","2005","20"
"LUX","MALE","2009","32"
"LUX","FEMALE","2009","17.8"
"LUX","MALE","2005","18"
"LUX","FEMALE","2005","13"
"MKD","MALE","2009","32.4"
"MKD","FEMALE","2009","28.1"
"MKD","MALE","2005","29"
"MKD","FEMALE","2005","26"
"MLT","MALE","2005","27"
"MLT","FEMALE","2005","18"
"NLD","MALE","2009","23.9"
"NLD","FEMALE","2009","18.9"
"NLD","MALE","2005","30"
"NLD","FEMALE","2005","20"
"NOR","MALE","2009","26.7"
"NOR","FEMALE","2009","17.1"
"NOR","MALE","2005","27"
"NOR","FEMALE","2005","17"
"POL","MALE","2009","31.2"
"POL","FEMALE","2009","22.7"
"POL","MALE","2005","24"
"POL","FEMALE","2005","19"
"PRT","MALE","2009","23.2"
"PRT","FEMALE","2009","13.6"
"PRT","MALE","2005","30"
"PRT","FEMALE","2005","12"
"ROU","MALE","2009","32.2"
"ROU","FEMALE","2009","19.9"
"ROU","MALE","2005","29"
"ROU","FEMALE","2005","16"
"RUS","MALE","2009","17.4"
"RUS","FEMALE","2009","11.3"
"RUS","MALE","2005","20"
"RUS","FEMALE","2005","12"
"SVK","MALE","2009","29.9"
"SVK","FEMALE","2009","21.8"
"SVK","MALE","2005","51"
"SVK","FEMALE","2005","43"
"SVN","MALE","2009","31.3"
"SVN","FEMALE","2009","19.5"
"SVN","MALE","2005","25"
"SVN","FEMALE","2005","21"
"ESP","MALE","2009","40.5"
"ESP","FEMALE","2009","25.8"
"ESP","MALE","2005","32"
"ESP","FEMALE","2005","24"
"SWE","MALE","2009","19.1"
"SWE","FEMALE","2009","17.1"
"SWE","MALE","2005","23"
"SWE","FEMALE","2005","20"
"CHE","MALE","2009","19.5"
"CHE","FEMALE","2009","11.2"
"CHE","MALE","2005","19"
"CHE","FEMALE","2005","11"
"TUR","MALE","2009","26.7"
"TUR","FEMALE","2009","18.6"
"TUR","MALE","2005","29"
"TUR","FEMALE","2005","21"
"UKR","MALE","2009","34.2"
"UKR","FEMALE","2009","24.8"
"UKR","MALE","2005","33"
"UKR","FEMALE","2005","22"
"GB-ENG","MALE","2009","32.5"
"GB-ENG","FEMALE","2009","19.7"
"GB-ENG","MALE","2005","27"
"GB-ENG","FEMALE","2005","18"
"GB-SCT","MALE","2009","23.8"
"GB-SCT","FEMALE","2009","16.2"
"GB-SCT","MALE","2005","40"
"GB-SCT","FEMALE","2005","25"
"GB-WLS","MALE","2009","29.1"
"GB-WLS","FEMALE","2009","19"
"GB-WLS","MALE","2005","35"
"GB-WLS","FEMALE","2005","21"

"Last update","2022.12.05 12:03:06 GMT"
"Description","Percentages of physically active children among 11-year-olds"
"Reference link","https://dw.euro.who.int/api/v3/measures/ENHIS_19?lang=En"

"Copyright"
"© WHO Regional Office for Europe 2025. All rights reserved.","https://www.who.int/about/policies/publishing/copyright"
